Aguadulce,"37.2506939087951,-4.9798836683"
Alanis,"38.0280149073019,-5.6431774174"
Albaida-del-Aljarafe,"37.4358835055652,-6.1737196016"
Alcala-de-Guadaira,"37.274559005427,-5.81642467746"
Alcala-del-Rio,"37.552652101345,-5.96481087165"
Alcolea-del-Rio,"37.6340268549391,-5.6443054060"
Algaba-La,"37.4763880062782,-6.0191612748"
Algamitas,"37.0251252716432,-5.1514411044"
Almaden-de-la-Plata,"37.8303437687087,-6.0336528400"
Almensilla,"37.3065797913844,-6.1110311135"
Arahal,"37.1863515003989,-5.5549192837"
Aznalcazar,"37.1514311176766,-6.2690337920"
Aznalcollar,"37.5491246499688,-6.3166067100"
Badolatosa,"37.3070236515747,-4.6892810403"
Benacazon,"37.3403575992159,-6.2105256489"
Bollullos-de-la-Mitacion,"37.3342235239695,-6.1415754303"
Bormujos,"37.3645890993859,-6.0861830335"
Brenes,"37.5539408376057,-5.8818169998"
Burguillos,"37.5986032005386,-5.9550160454"
Cabezas-de-San-Juan-Las,"36.9750859769518,-5.9063129248"
Camas,"37.3993742896506,-6.0364362953"
Campana-La,"37.5710764833025,-5.3979683827"
Canada-Rosal,"37.5999629497102,-5.2241270603"
Cantillana,"37.6209057130729,-5.8193943729"
Carmona,"37.4655343402072,-5.6315180743"
Carrion-de-los-Cespedes,"37.3632489598495,-6.3279169125"
Casariche,"37.3036991010446,-4.7581716553"
Castilblanco-de-los-Arroyos,"37.7259842620495,-6.0002844216"
Castilleja-de-Guzman,"37.4093569484642,-6.0502914037"
Castilleja-de-la-Cuesta,"37.3870093780234,-6.0546053831"
Castilleja-del-Campo,"37.3858570368164,-6.3383690268"
Castillo-de-las-Guardas-El,"37.6891180457217,-6.3503073893"
Cazalla-de-la-Sierra,"37.9289681908816,-5.8464454845"
Constantina,"37.8495792211948,-5.6029622705"
Coria-del-Rio,"37.2444111631078,-6.0420254771"
Coripe,"36.9963667336016,-5.3983720636"
Coronil-El,"37.0143180088648,-5.6136676510"
Corrales-Los,"37.1178583510693,-5.0213556192"
Cuervo-de-Sevilla-El,"36.8692444873202,-6.0124504900"
Dos-Hermanas,"37.2521681797694,-5.9598480423"
Ecija,"37.5669693488402,-5.0979049270"
Espartinas,"37.3864480607642,-6.1269021875"
Estepa,"37.3111634666469,-4.8829713892"
Fuentes-de-Andalucia,"37.5268359050459,-5.3327162845"
Garrobo-El,"37.6277696235385,-6.1638462608"
Gelves,"37.3348482278337,-6.0614080700"
Gerena,"37.5560587129844,-6.1621268882"
Gilena,"37.2351340370132,-4.9256733971"
Gines,"37.3870513775433,-6.0777038350"
Guadalcanal,"38.0985876317891,-5.8203600943"
Guillena,"37.6076196472636,-6.0891816648"
Herrera,"37.3867330339016,-4.8585201989"
Huevar-del-Aljarafe,"37.3524232974852,-6.2943209544"
Isla-Mayor,"37.1329574568462,-6.1721151315"
Lantejuela-La,"37.3584069836048,-5.2188420709"
Lebrija,"36.9210973368937,-6.0298335634"
Lora-de-Estepa,"37.2765057047298,-4.8208157009"
Lora-del-Rio,"37.6601461622448,-5.4884510788"
Luisiana-La,"37.5496274768025,-5.2233886823"
Madrono-El,"37.6450825059471,-6.4549174967"
Mairena-del-Alcor,"37.3453150320114,-5.7420074227"
Mairena-del-Aljarafe,"37.3357641313476,-6.0738382693"
Marchena,"37.3053638816115,-5.3939630591"
Marinaleda,"37.3702896931121,-4.9423272281"
Martin-de-la-Jara,"37.1393387409139,-4.9679439411"
Molares-Los,"37.1599635377064,-5.6915216607"
Montellano,"36.9972615705777,-5.5344765923"
Moron-de-la-Frontera,"37.1037500904912,-5.4079693940"
Navas-de-la-Concepcion-Las,"37.9315854192498,-5.4533659095"
Olivares,"37.4473520116411,-6.1642459013"
Osuna,"37.2222931029351,-5.1137145031"
Palacios-y-Villafranca-Los,"37.1568171810437,-5.9136141123"
Palomares-del-Rio,"37.3162463548565,-6.0566230689"
Paradas,"37.2855898483902,-5.4816264820"
Pedrera,"37.2012354748421,-4.9034497227"
Pedroso-El,"37.8112394678757,-5.7858896175"
Penaflor,"37.7276203022886,-5.3637902412"
Pilas,"37.3123096325667,-6.3162284927"
Pruna,"37.0062219519443,-5.2226169635"
Puebla-de-Cazalla-La,"37.1599618127826,-5.26158424712"
Puebla-de-los-Infantes-La,"37.8132667273097,-5.4107145572"
Puebla-del-Rio-La,"37.1397460469039,-6.1353480802"
Real-de-la-Jara-El,"37.9489248506166,-6.0578927407"
Rinconada-La,"37.4794780172924,-5.9101259683"
